"","CD_MUN","year","chik_incidence","denv_incidence","yfv_incidence","zika_incidence"
"1",110001,2013,0,0,0,0
"2",110001,2014,0,1.313615394,0,0
"3",110001,2015,0,4.348519926,0,0
"4",110001,2016,0,22.10497629,0,1.94777455
"5",110001,2017,0.145686218,0.724753321,0,0
"6",110001,2018,0,0.194248291,0,0
"7",110001,2019,0.242810363,11.16927671,0,0.145686218
"8",110002,2013,0,0.042963063,0,0
"9",110002,2014,0,0.515556759,0,0
"10",110002,2015,0,0.197630091,0,0
"11",110002,2016,0,0.592890273,0,0.429630632
"12",110002,2017,0.81085631,0.524149372,0,0.300741443
"13",110002,2018,0.25690497,0.088311083,0,0.00802828
"14",110002,2019,0.128452485,0.26493325,0,0.136480765
"15",110003,2013,0,0,0,0
"16",110003,2014,0,1.47546423,0,0
"17",110003,2015,0,21.3122611,0,0
"18",110003,2016,0,9.180666321,0,0
"19",110003,2017,0,0.81970235,0,0
"20",110003,2018,0,0.736003475,0,0
"21",110003,2019,0.552002606,17.29608166,0,2.576012163
"22",110004,2013,0,0.023800362,0,0
"23",110004,2014,0,0.392705976,0,0
"24",110004,2015,0,0.547408331,0,0
"25",110004,2016,0,2.582339299,0,0.797312134
"26",110004,2017,0.663585059,0.297504528,0,0.21420326
"27",110004,2018,0.841331057,0.248844397,0,0.213295197
"28",110004,2019,0.936128922,0.29624333,0,0.545087727
"29",110005,2013,0,0,0,0
"30",110005,2014,0,0.84111723,0,0
"31",110005,2015,0,3.084096509,0,0
"32",110005,2016,0,23.34100312,0,3.504655123
"33",110005,2017,1.939428824,17.80364803,0,0.630837922
"34",110005,2018,0.447560498,0.745934163,0,0
"35",110005,2019,1.491868326,1.044307828,0,0.074593416
"36",110006,2013,0,0.139257324,0,0
"37",110006,2014,0,2.158488518,0,0
"38",110006,2015,0,1.044429928,0,0
"39",110006,2016,0,3.063661122,0,0.069628662
"40",110006,2017,0.23310769,1.044429928,0,0
"41",110006,2018,0,1.320943576,0,0.077702563
"42",110006,2019,0,0.854728196,0,0
"43",110007,2013,0,0,0,0
"44",110007,2014,0,1.253499505,0,0
"45",110007,2015,0,2.165135509,0,0
"46",110007,2016,0,2.620953511,0,0.569772502
"47",110007,2017,0.127662604,1.823272008,0,0
"48",110007,2018,0,0.127662604,0,0
"49",110007,2019,0.127662604,0.893638226,0,0
"50",110008,2013,0,0.062555535,0,0
"51",110008,2014,0,7.381553117,0,0
"52",110008,2015,0,1.125999628,0,0
"53",110008,2016,0,2.94011014,0,0
"54",110008,2017,0,0.062555535,0,0
"55",110008,2018,0.055564248,0,0,0
"56",110008,2019,0,0.111128496,0,0
"57",110009,2013,0,0,0,0
"58",110009,2014,0,0.53525031,0,0
"59",110009,2015,0,8.355852067,0,0
"60",110009,2016,0,15.522259,0,0.654194824
"61",110009,2017,0.14465724,3.508863146,0,0.17841677
"62",110009,2018,0.115725792,1.128326474,0,0.14465724
"63",110009,2019,0,0.376108825,0,0
"64",110010,2013,0,0,0,0
"65",110010,2014,0,0.571474526,0,0
"66",110010,2015,0,0.320025734,0,0
"67",110010,2016,0,6.514809591,0,2.01159033
"68",110010,2017,0.090028022,2.24018014,0,0
"69",110010,2018,0.135042033,1.08033626,0,0
"70",110010,2019,0.045014011,0.225070054,0,0
"71",110011,2013,0,0,0,0
"72",110011,2014,0,1.123686334,0,0
"73",110011,2015,0,0.457798136,0,0
"74",110011,2016,0,2.517889749,0,0.104045031
"75",110011,2017,0.521515455,2.934069873,0,0.228899068
"76",110011,2018,0.043459621,0.021729811,0,0
"77",110011,2019,0.065189432,0.195568296,0,0.043459621
"78",110012,2013,0,0.054207834,0,0
"79",110012,2014,0,1.94244737,0,0
"80",110012,2015,0,0.316212362,0,0
"81",110012,2016,0,8.34800637,0,1.562992535
"82",110012,2017,0.613857709,0.686632559,0,0.514974419
"83",110012,2018,0.943027784,0.275791144,0,0.765098014
"84",110012,2019,0.177929771,0.142343816,0,0.186826259
"85",110013,2013,0,0.024563432,0,0
"86",110013,2014,0,2.014201442,0,0
"87",110013,2015,0,0.515832077,0,0
"88",110013,2016,0,11.69219373,0,0
"89",110013,2017,0,3.119555891,0,0
"90",110013,2018,0,0.15129395,0,0
"91",110013,2019,0,0.108067107,0,0
"92",110014,2013,0,0,0,0
"93",110014,2014,0,0.961774861,0,0
"94",110014,2015,0,0.125448895,0,0
"95",110014,2016,0,14.38480662,0,0.041816298
